id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,retweet,user_rt,mentions
1042961738159874049,2018-09-20,21:20:30,CDT,542878199,CodyZurowski,What a fucking throw,0,0,0,,,https://twitter.com/CodyZurowski/status/1042961738159874049,,None,
1042960865534914561,2018-09-20,21:17:02,CDT,799036475065139200,aleppo_breaking,#CivilDefence teams worked to retrieve the martyrs and rescue the wounded,0,0,0,,#CivilDefence,https://twitter.com/aleppo_breaking/status/1042960865534914561,,None,
1042951186998067202,2018-09-20,20:38:34,CDT,545148148,asmaeelolabi,I posted a new video to Facebook  https://www.facebook.com/hamoda.sweet/videos/2165672856801001/ …,0,0,0,,,https://twitter.com/asmaeelolabi/status/1042951186998067202,,None,
1042946276315127808,2018-09-20,20:19:03,CDT,90425030,myrafuad,omgeee https://twitter.com/MaisarahMahmud/status/1042752394470125568 …,0,0,0,,,https://twitter.com/myrafuad/status/1042946276315127808,,None,
1042937268191801345,2018-09-20,19:43:16,CDT,4725140877,PDepodesta,"I’m in his office, packing his shit.",0,1,3,,,https://twitter.com/PDepodesta/status/1042937268191801345,,None,
1042900021266534400,2018-09-20,17:15:15,CDT,251817152,EssamAlMousa,Syria ♥️  https://www.facebook.com/100000935095956/posts/2285789601462187/ …,0,0,0,,,https://twitter.com/EssamAlMousa/status/1042900021266534400,,None,
1042887164378468353,2018-09-20,16:24:10,CDT,97017516,syriani_,@BNatalie_ @EBahhade Can I DM you?,1,0,0,,,https://twitter.com/syriani_/status/1042887164378468353,,None,"EBahhade,BNatalie_"
1042884611389489152,2018-09-20,16:14:01,CDT,799036475065139200,aleppo_breaking,"76+ areas were targeted with rocket artillery, artillery bombardment & SSM's",0,0,0,,,https://twitter.com/aleppo_breaking/status/1042884611389489152,,None,
1042874795539537920,2018-09-20,15:35:01,CDT,97017516,syriani_,Depression o'clock.,1,0,3,,,https://twitter.com/syriani_/status/1042874795539537920,,None,
1042873290883252225,2018-09-20,15:29:02,CDT,983416908,MuhannadND,@mohamedriyad96 Why not top 11?? 🙄#winning_mentality pic.twitter.com/ICBifjpqd3,1,0,0,,#winning_mentality,https://twitter.com/MuhannadND/status/1042873290883252225,,None,mohamedriyad96
1042865736979546113,2018-09-20,14:59:01,CDT,799036475065139200,aleppo_breaking,#SCD teams are worked to extinguish a huge fire that broke out at a fuel shop in #Kalili town north of #Idlib City.,0,1,0,,"#SCD,#Kalili,#Idlib",https://twitter.com/aleppo_breaking/status/1042865736979546113,,None,
1042865445009805316,2018-09-20,14:57:52,CDT,97017516,syriani_,"followers in Canada, please, for any of you in the professional field (or connected to it), please DM me if you can for some inquiries.",2,4,1,,,https://twitter.com/syriani_/status/1042865445009805316,,None,
1042862488549818368,2018-09-20,14:46:07,CDT,843943044642672640,KhadeejaKaram,@najwakaram W enti awwal hal nees 💖,0,0,0,,,https://twitter.com/KhadeejaKaram/status/1042862488549818368,,None,najwakaram
1042843780913815559,2018-09-20,13:31:47,CDT,783681177165172736,desdealepo,@KRLS @GuillemAlzina @andrei_kononov Calma. Will see.,0,0,1,,,https://twitter.com/desdealepo/status/1042843780913815559,,None,"andrei_kononov,GuillemAlzina,KRLS"
1042829608943595520,2018-09-20,12:35:28,CDT,97199473,deadbyrock,6 new banks launching in South Africa soon https://businesstech.co.za/news/banking/260077/6-new-banks-launching-in-south-africa-soon/ …,0,0,0,,,https://twitter.com/deadbyrock/status/1042829608943595520,,None,
1042828364233547777,2018-09-20,12:30:31,CDT,267354060,agkforever,"@_AlAzif Hello, do you advise us to update to 6.0Thanks in advance",0,0,0,,,https://twitter.com/agkforever/status/1042828364233547777,,None,_AlAzif
1042825350294761472,2018-09-20,12:18:32,CDT,542878199,CodyZurowski,@ssssssmantha Sounds like you are living your best life tbh.,0,0,1,,,https://twitter.com/CodyZurowski/status/1042825350294761472,,None,ssssssmantha
1042821688088510464,2018-09-20,12:03:59,CDT,547154673,ashedmsh2,I posted a new video to Facebook  https://www.facebook.com/1942sharif/videos/2258894057666024/ …,0,0,0,,,https://twitter.com/ashedmsh2/status/1042821688088510464,,None,
1042813997010112513,2018-09-20,11:33:26,CDT,862686193,yasseralhaji1,Its took the regime 30 years to finish  Aleppo provincial council building and it costed 50 time more corapetion every where.. rebuilding???,0,0,2,,,https://twitter.com/yasseralhaji1/status/1042813997010112513,,None,
1042813894421557250,2018-09-20,11:33:01,CDT,799036475065139200,aleppo_breaking,"5 civilian martyrs so far 2day, after 10 Airstrikes & artillery shells targeted his home.",0,0,0,,,https://twitter.com/aleppo_breaking/status/1042813894421557250,,None,
1042806564007149569,2018-09-20,11:03:53,CDT,97017516,syriani_,"this just made my day 😂classic sandwich b manti2a sha3bye aslan, mn wen bdak professional response menon. I used to call two numbers to order and they would both be busy for an hour sometimes, and then they would take 5 minutes to understand my address, so this makes sense https://twitter.com/swimzer/status/1042770160602546176 …",0,0,0,,,https://twitter.com/syriani_/status/1042806564007149569,,None,
1042805708750610433,2018-09-20,11:00:30,CDT,40918114,SSAR_Aleppo,"From 19:58, International Space Station will fly over #Aleppo with magnitude -2.7, elevation 38.1 degree  https://ssar.space/s/ISS/201809201653 … #ISS pic.twitter.com/s2cddZVc4g",0,0,0,,"#Aleppo,#ISS",https://twitter.com/SSAR_Aleppo/status/1042805708750610433,,None,
1042797176508833794,2018-09-20,10:26:35,CDT,203892683,youssefdj,Tonightt#Karaoke #Night  https://www.facebook.com/story.php?story_fbid=10156037720877872&id=590187871 …,0,0,0,,"#Karaoke,#Night",https://twitter.com/youssefdj/status/1042797176508833794,,None,
1042795623949299712,2018-09-20,10:20:25,CDT,40918114,SSAR_Aleppo,"From 19:16, Hubble Space Telescope will fly over #Aleppo with magnitude 0.6, elevation 25.5 degree  https://ssar.space/s/HUBBLE/201809201611 … #Hubble pic.twitter.com/fVSxvAxJB2",0,0,0,,"#Aleppo,#Hubble",https://twitter.com/SSAR_Aleppo/status/1042795623949299712,,None,
1042790424568582144,2018-09-20,09:59:45,CDT,2899666120,m050646179000,I posted a new video to Facebook  https://www.facebook.com/muhammedmirali1997/videos/313377449214285/ …,0,0,0,,,https://twitter.com/m050646179000/status/1042790424568582144,,None,
1042787298486702080,2018-09-20,09:47:20,CDT,248372134,AboSeFo,Just posted a photo @ Technology World  https://www.instagram.com/p/Bn86nUynKvL/?utm_source=ig_twitter_share&igshid=15quxss0tvaw6 …,0,0,0,,,https://twitter.com/AboSeFo/status/1042787298486702080,,None,
